mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__gamma,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_f1_macro,split1_test_f1_macro,split2_test_f1_macro,split3_test_f1_macro,split4_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro,split0_train_f1_macro,split1_train_f1_macro,split2_train_f1_macro,split3_train_f1_macro,split4_train_f1_macro,mean_train_f1_macro,std_train_f1_macro,split0_test_f1_weighted,split1_test_f1_weighted,split2_test_f1_weighted,split3_test_f1_weighted,split4_test_f1_weighted,mean_test_f1_weighted,std_test_f1_weighted,rank_test_f1_weighted,split0_train_f1_weighted,split1_train_f1_weighted,split2_train_f1_weighted,split3_train_f1_weighted,split4_train_f1_weighted,mean_train_f1_weighted,std_train_f1_weighted
2.418320560455322,0.28015336037927435,2.594132995605469,0.9930379580110911,0.1,scale,"{'model__C': 0.1, 'model__gamma': 'scale'}",0.6470289487049263,0.6671724835609509,0.6379746835443038,0.6427845528455285,0.6783536585365854,0.654662865438459,0.015463574184974849,9,0.7421399594320487,0.7440355329949239,0.7381375285460543,0.7428064393459247,0.7346938775510204,0.7403626675739944,0.0034556374590075313,0.6401446354592253,0.6656898396216,0.6326114110751255,0.6378733367607167,0.6742241882016233,0.6501086822236581,0.01661006019615409,11,0.7397684135700872,0.7414944237515725,0.7345897924135918,0.7407011992618682,0.7321798790711714,0.7377467416136582,0.0036828626289901606,0.6394273102288011,0.6655464808170445,0.6307464836376016,0.6366232003563662,0.6729186488603255,0.6490524247800278,0.016875345729265426,11,0.7391828449336013,0.7406532246194849,0.7340654945433942,0.7400707266355101,0.7316338362942194,0.7371212254052419,0.003602048900064973
4.099054765701294,0.8928766393866315,4.6709246158599855,0.549488485724451,0.1,0.001,"{'model__C': 0.1, 'model__gamma': 0.001}",0.4824784154393093,0.5194739504299444,0.5022784810126583,0.47510162601626016,0.5045731707317073,0.49678112872597585,0.016002933498407333,15,0.5230730223123732,0.5158629441624365,0.516239533113423,0.5190771960958296,0.5122322220813791,0.5172969835530883,0.0036154739555885095,0.4391349638643943,0.4966286318736387,0.4776473921826686,0.4460997758328394,0.4809170134408977,0.46808555543888775,0.02187369884647295,15,0.4984813106917859,0.49073146132571877,0.48675966134059223,0.49503680661994337,0.48197587697100275,0.49059702338980865,0.005847071882926932,0.4381978685625902,0.4957623631820347,0.47585534910879307,0.44661351075537264,0.48003895246309974,0.4672936088143781,0.021542728301534034,15,0.49805384872070474,0.48987502081577866,0.4863142967649319,0.4938816481788454,0.48142046569567387,0.4899090560351869,0.005780981833378143
2.4296140670776367,0.2923600816604346,2.6082337379455565,0.9745022057656166,0.1,0.01,"{'model__C': 0.1, 'model__gamma': 0.01}",0.6262061960385983,0.644916540212443,0.629873417721519,0.6280487804878049,0.6605691056910569,0.6379228080302843,0.013125053816211835,14,0.7066430020283976,0.7116751269035533,0.7088302461304238,0.7075674990493092,0.7011028013689948,0.7071637350961357,0.003472722878951048,0.6175712570140612,0.6445688813538953,0.6246821624257681,0.6227482523530694,0.6553506435570434,0.6329842393407675,0.014461811111036001,14,0.7025625311277275,0.7082697664450228,0.7042427394645128,0.7045078363228602,0.6975203691467883,0.7034206485013823,0.003490599307608473,0.6166158376544896,0.6440998390196737,0.6228019017545146,0.621649717277988,0.6541893446846164,0.6318713280782564,0.014608875072021878,14,0.7020184721686631,0.7073510377181723,0.703709517584693,0.7037320909551188,0.6969032957837454,0.7027428828420784,0.0033992221055474023
7.2405956268310545,1.4855969847178507,6.198810195922851,0.3618536295907598,0.1,0.1,"{'model__C': 0.1, 'model__gamma': 0.1}",0.40832910106653125,0.3915022761760243,0.41873417721518985,0.4176829268292683,0.4146341463414634,0.41017652552569545,0.010015891495140768,16,0.5938133874239351,0.5612944162436548,0.5702867292565339,0.5847382431233363,0.5582456585118519,0.5736756869118624,0.013643854335341675,0.43248873574861485,0.42109500297822705,0.44658597404937683,0.43783026266195557,0.4393028632059945,0.4354605677288338,0.008477671736149951,16,0.632181952820689,0.6062423838694071,0.6133120262579792,0.6241416696752136,0.6020506600084954,0.6155857385263568,0.011174119034062254,0.43110467845329903,0.42245461566226933,0.4447260096392789,0.4366960849909417,0.4364892348684907,0.4342941247228559,0.007345184638830081,16,0.6315523591453172,0.6046262567987498,0.6126985720738941,0.6235167215440597,0.6016009456650594,0.614798971045416,0.011302732868708738
7.73179817199707,0.755898975021032,6.606402635574341,0.417691449775814,0.1,1,"{'model__C': 0.1, 'model__gamma': 1}",0.09649568308786186,0.10116337885685382,0.10126582278481013,0.09654471544715447,0.09654471544715447,0.09840286312476695,0.0022960725772037905,20,0.10243407707910751,0.10152284263959391,0.20299416391778735,0.10267461021675751,0.10267461021675751,0.12246006081400077,0.04026928606974839,0.01760074108383511,0.018373909049150206,0.01839080459770115,0.017608897126969416,0.017608897126969416,0.01791664979692506,0.0003802973903618894,20,0.018583256669733213,0.018433179723502304,0.12029941639177873,0.018622830210369007,0.018622830210369007,0.038912302641150455,0.04069361682937687,0.01698395533737263,0.018587667222205572,0.01862359959260876,0.017000459624614783,0.017000459624614783,0.017639228280283307,0.0007891713030418587,20,0.0190355874608829,0.018713888044164777,0.12210039725123445,0.019120918329824942,0.019120918329824942,0.0396183418831864,0.04124130010634043
2.598206043243408,1.1904857858954838,2.097789239883423,0.9985928676975842,1.0,scale,"{'model__C': 1, 'model__gamma': 'scale'}",0.7313357034027425,0.7116843702579666,0.709873417721519,0.7286585365853658,0.7322154471544715,0.7227534950244131,0.009863815377640126,3,0.9344574036511156,0.9389593908629441,0.9316163410301954,0.9321840537457219,0.936240334643174,0.9346915047866302,0.00269860970419982,0.7289686852475139,0.7120766412234338,0.7054927939717107,0.7264418328184005,0.7307306736389112,0.720742125379994,0.010075383590963504,3,0.9346584083327963,0.9390833710730101,0.9316636796815896,0.9323982219469343,0.9362347037873375,0.9348076769643334,0.0026844157347056677,0.7285228870181643,0.7120140128924448,0.7045072297949899,0.7255786478810903,0.7290720173366756,0.7199389589846729,0.009897936174193621,3,0.9344418078736895,0.9389804861361907,0.9315129691091203,0.9322151589405532,0.9361579968030974,0.9346616837725301,0.002714378003806703
3.963491439819336,1.24794821693997,2.2938676357269285,0.311889031788727,1.0,0.001,"{'model__C': 1, 'model__gamma': 0.001}",0.6358557643473844,0.637329286798179,0.6379746835443038,0.6280487804878049,0.6585365853658537,0.6395490201087052,0.010137347142512165,13,0.6987829614604463,0.7040609137055838,0.6990611519918802,0.7038914944859932,0.6978070731398149,0.7007207189567437,0.002691063618307664,0.6275074353479668,0.6376613728704416,0.6316383327880766,0.6240598197828335,0.6554864915270711,0.6352706904632779,0.011077362038882968,13,0.6958388425463672,0.701560984273349,0.6948448384049002,0.7017533457123019,0.6948100397763426,0.6977616101426523,0.0032026725361723753,0.6266707658875518,0.637216707549952,0.6299540282511071,0.622874107160763,0.6544808792097953,0.6342392976118338,0.011166023065273457,13,0.6953283595683797,0.700560829692802,0.6942172927151672,0.700968350234636,0.6941880696040821,0.6970525803630134,0.0030613161329787275
1.7458230018615724,0.29319194100016893,1.5730212688446046,0.34762499928955043,1.0,0.01,"{'model__C': 1, 'model__gamma': 0.01}",0.7206703910614525,0.7091552857865453,0.7068354430379746,0.7240853658536586,0.7210365853658537,0.716356614221097,0.006967872476768906,5,0.8801977687626775,0.8835025380710659,0.8760466886577011,0.8793256433007985,0.8827481303080238,0.8803641538200534,0.0026562941522446674,0.7176302384966406,0.709629971526992,0.7024988995237016,0.7229002062399595,0.7201546796275327,0.7145627990829653,0.0074841316257232005,5,0.8802878046373899,0.8836159638102339,0.8757426144093147,0.8794789858469194,0.8824398390237761,0.8803130415455268,0.0027209429621923844,0.7171987161351767,0.7095648714265129,0.7014129829473125,0.722169210212001,0.7187193682914905,0.7138130298024988,0.007445385039690922,5,0.8799355942308937,0.8832980416882019,0.8754830633597099,0.879167424568,0.8822884463806887,0.8800345140454988,0.0027279353468577863
6.877803659439087,0.1878275759395655,2.599615955352783,0.4658715022902695,1.0,0.1,"{'model__C': 1, 'model__gamma': 0.1}",0.6571863890299644,0.6302478502781993,0.6172151898734177,0.6382113821138211,0.6849593495934959,0.6455640321777797,0.023576997111702778,12,0.9988590263691683,0.9980964467005076,0.9975894443034763,0.9989859297756369,0.997338065661047,0.9981737825619673,0.0006595448349076219,0.6588526698932338,0.6315749689782815,0.6174170261908063,0.6391836584320497,0.6882704820394145,0.6470597611067571,0.02456786409656929,12,0.9988540048056009,0.9980494499234325,0.9975623133668385,0.9989753414815217,0.9973037021951499,0.9981489623545088,0.0006705985110447739,0.6592575607405654,0.63145522181457,0.616272216378666,0.6374247625584819,0.6861181164845876,0.6461055755953742,0.0243063647825324,12,0.9988588340341841,0.998096446095827,0.9975900787790207,0.9989859590443522,0.9973392535645537,0.9981741143035876,0.0006590986710058405
7.014042854309082,0.7778606999428389,2.6518152236938475,0.5538312129305971,1.0,1,"{'model__C': 1, 'model__gamma': 1}",0.1447435246317928,0.12341932220536166,0.14379746835443039,0.1366869918699187,0.13363821138211382,0.1364571036887235,0.007752786259033652,19,1.0,0.998730964467005,0.9987312864755138,1.0,0.9987324122195462,0.9992389326324129,0.0006214090894643877,0.10264747035876039,0.061573930850604294,0.09116344813121678,0.09050633594788735,0.0866281511001287,0.0865038672777195,0.013563661351955561,19,1.0,0.9986884542803226,0.998706194054176,1.0,0.998706194054176,0.9992201684777349,0.0006367627203459272,0.10281823031088762,0.06217320008377607,0.09211670487530939,0.08811092488149377,0.08545145025984835,0.08613410208226305,0.013361514415663031,19,1.0,0.9987305344884191,0.9987309789651525,1.0,0.9987321049820423,0.9992387236871227,0.0006215797174620517
1.8749505043029786,0.18251259939570363,1.462963914871216,0.20020654069031948,10.0,scale,"{'model__C': 10, 'model__gamma': 'scale'}",0.7369222955815135,0.7121901871522509,0.6967088607594937,0.744410569105691,0.7439024390243902,0.726826870324668,0.01909977023325091,1,0.9978448275862069,0.9970812182741117,0.9968282161887846,0.99835213588541,0.9958169603245025,0.9971846716518031,0.0008726025404246551,0.7354460509031249,0.7110034044007295,0.6914490062380472,0.7421756336896145,0.7416757825052291,0.724349975547349,0.020008324797998942,1,0.9978361359194287,0.997033043433208,0.9967969629130135,0.9983462415512104,0.9957765827268144,0.997157793308735,0.0008861220796318966,0.7350840822965762,0.7112870614212204,0.6904638473459157,0.7419360013176385,0.7401502080566992,0.72378424008761,0.019957183289959372,1,0.9978443684191888,0.9970819797468349,0.996828962509658,0.9983522718290614,0.9958167277473878,0.9971848620504262,0.000872563460655212
1.7453418731689454,0.21616263961509474,1.694920587539673,0.2691077092482724,10.0,0.001,"{'model__C': 10, 'model__gamma': 0.001}",0.6983240223463687,0.6884167931208902,0.6830379746835443,0.6742886178861789,0.698170731707317,0.6884476279488598,0.009185039773300102,8,0.8042596348884381,0.8055837563451776,0.8076630296878965,0.8035238940296615,0.8052985169222968,0.8052657663746942,0.0014068035716863644,0.6941400303873339,0.6885538003430958,0.6787334726992352,0.6728303380213372,0.6982697035069312,0.6865054689915866,0.009468817626132976,8,0.8036057966799369,0.8054241288340982,0.8065449776483428,0.8031761442826546,0.8044692970690542,0.8046440689028174,0.0012235444126280676,0.6934114580049914,0.6881341099904722,0.6774503394152318,0.6719794253675544,0.6970757909823577,0.6856102247521215,0.009498114197202336,8,0.8031255419166877,0.8047940089445248,0.8060787537050892,0.8026762665347633,0.8040859618789641,0.8041521065960058,0.0012132865909386587
1.5478092193603517,0.31673637535683585,1.2867348670959473,0.2174754478256004,10.0,0.01,"{'model__C': 10, 'model__gamma': 0.01}",0.7353986795327577,0.7066262013151239,0.7124050632911393,0.7306910569105691,0.7383130081300813,0.7246868018359344,0.012755354119887327,2,0.9849137931034483,0.984263959390863,0.9836335955341284,0.9871973634174167,0.9859297756369628,0.9851876974165638,0.0012596019763427477,0.7339798729106957,0.7066478207195412,0.708859980026159,0.7279550959419173,0.7368139215344642,0.7228513382265556,0.012674055732522537,2,0.9849019726087682,0.9842028255693382,0.9836003008142953,0.987208238371033,0.9858907169801163,0.9851608108687102,0.0012762951866467564,0.7334899268382726,0.706889655616072,0.707848711870329,0.727494253225877,0.7353189603666245,0.722208301583435,0.012393259925364228,2,0.9848987429007898,0.9842566217570178,0.9836131512294721,0.9872076553114936,0.9859293211663525,0.9851810984730252,0.0012696149215042111
6.857270526885986,0.3540893926671979,2.755520153045654,0.44071868875352305,10.0,0.1,"{'model__C': 10, 'model__gamma': 0.1}",0.6607414931437278,0.6368234699038948,0.6207594936708861,0.641260162601626,0.6880081300813008,0.649518549880287,0.023081817821183438,10,1.0,0.998730964467005,0.9987312864755138,1.0,0.9987324122195462,0.9992389326324129,0.0006214090894643877,0.661769340530322,0.6373939866920788,0.6203406749489048,0.641768257790702,0.6910760397028115,0.6504696599329638,0.024211584936673677,9,1.0,0.9986889670878435,0.9987064362318187,1.0,0.9987064362318187,0.9992203679102962,0.0006365988949064777,0.6623126923909513,0.6373228813670315,0.6191683088744151,0.6403088746673872,0.6889713528520252,0.649616822030362,0.0239785530629327,9,1.0,0.9987308056003517,0.9987311147260182,1.0,0.9987322406224459,0.9992388321897632,0.0006214910981340219
6.638653755187988,0.5692401895212367,2.837394285202026,0.90671781074781,10.0,1,"{'model__C': 10, 'model__gamma': 1}",0.14779075672930422,0.13151239251390998,0.1468354430379747,0.1402439024390244,0.13617886178861788,0.14051227130176622,0.00620978468186631,17,1.0,0.998730964467005,0.9987312864755138,1.0,0.9987324122195462,0.9992389326324129,0.0006214090894643877,0.10831535550330391,0.07575785470679228,0.09685901822686241,0.09657734922582922,0.09134045646846786,0.09377000682625114,0.010576678777708504,17,1.0,0.9986884542803226,0.998706194054176,1.0,0.998706194054176,0.9992201684777349,0.0006367627203459272,0.10832674605489942,0.07665108862088378,0.09788404645918154,0.09417781908960816,0.08986483224594141,0.09338090649410287,0.010358967550839223,17,1.0,0.9987305344884191,0.9987309789651525,1.0,0.9987321049820423,0.9992387236871227,0.0006215797174620517
1.852885627746582,0.15777714773052745,1.3303973197937011,0.16944256776179728,100.0,scale,"{'model__C': 100, 'model__gamma': 'scale'}",0.7277805992889792,0.7051087506322711,0.6830379746835443,0.7347560975609756,0.7449186991869918,0.7191204242705524,0.022285843334294137,4,1.0,0.998730964467005,0.9987312864755138,1.0,0.9987324122195462,0.9992389326324129,0.0006214090894643877,0.7263247668176718,0.7040095653064858,0.6774513567751759,0.7325491307651852,0.7429173513841387,0.7166504342097315,0.02337807280238452,4,1.0,0.9986891289437585,0.9987064362318187,1.0,0.998706550802139,0.9992204231955432,0.0006365533764980543,0.7261150889826012,0.7042862101766039,0.6767096458110009,0.7325808094011015,0.741344434070101,0.7162072376882818,0.02323922834726561,4,1.0,0.9987308872194718,0.9987311147260182,1.0,0.9987323020682016,0.9992388608027383,0.0006214677379354582
1.5107935428619386,0.1504845712330626,1.1076888561248779,0.17529877015205195,100.0,0.001,"{'model__C': 100, 'model__gamma': 0.001}",0.7191467750126967,0.6985331310065757,0.7012658227848101,0.7052845528455285,0.7098577235772358,0.7068176010453694,0.0072533550607496045,7,0.8989604462474645,0.9020304568527919,0.8981223039837605,0.8963113195588794,0.9067055393586005,0.9004260132002994,0.003643963628170892,0.7165981350360615,0.6974921704266805,0.6992232353919237,0.7038009035617938,0.710300260056926,0.705482940894677,0.0071080191327015695,7,0.899090598930905,0.9022863134573544,0.8980199129962111,0.8965674730789029,0.9066899606693106,0.9005308518265368,0.0036084284829996692,0.71592016293069,0.6974001778084227,0.6979130113085756,0.7030281985373166,0.7089518576607775,0.7046426816491564,0.00701568902459087,7,0.8988408181009618,0.9019701130215784,0.8977688460961716,0.8962055249654889,0.9065027791500382,0.9002576162668477,0.0036484364457228993
1.5891278743743897,0.13098725417645996,1.6646827697753905,0.5197807686981375,100.0,0.01,"{'model__C': 100, 'model__gamma': 0.01}",0.7359065515490096,0.6990389479008599,0.6830379746835443,0.7240853658536586,0.739329268292683,0.716279621655951,0.02181595817081109,6,0.9998732251521298,0.998730964467005,0.9987312864755138,0.9998732412219546,0.9987324122195462,0.9991882259072298,0.0005593063085240982,0.7344850072041238,0.6973548504146694,0.6786086407647587,0.721587692098732,0.7373293606372924,0.7138731102239153,0.02258759158229389,6,0.9998698606477288,0.9986891289437585,0.9987064362318187,0.999870681823403,0.998706550802139,0.9991685316897696,0.0005730030825591294,0.7343092081468693,0.6975851417050805,0.6778993893926848,0.7214032564322397,0.7356523096428945,0.7133698610639538,0.022391118497725043,6,0.9998732282609895,0.9987308872194718,0.9987311147260182,0.9998732437104368,0.9987323020682016,0.9991881551970236,0.000559366328030265
12.24315161705017,0.6967617565774447,3.071939468383789,0.37089263319370175,100.0,0.1,"{'model__C': 100, 'model__gamma': 0.1}",0.6607414931437278,0.6368234699038948,0.6207594936708861,0.641260162601626,0.6880081300813008,0.649518549880287,0.023081817821183438,10,1.0,0.998730964467005,0.9987312864755138,1.0,0.9987324122195462,0.9992389326324129,0.0006214090894643877,0.661769340530322,0.6373939866920788,0.6203406749489048,0.641768257790702,0.6910760397028115,0.6504696599329638,0.024211584936673677,9,1.0,0.9986889670878435,0.9987064362318187,1.0,0.9987064362318187,0.9992203679102962,0.0006365988949064777,0.6623126923909513,0.6373228813670315,0.6191683088744151,0.6403088746673872,0.6889713528520252,0.649616822030362,0.0239785530629327,9,1.0,0.9987308056003517,0.9987311147260182,1.0,0.9987322406224459,0.9992388321897632,0.0006214910981340219
12.650650548934937,0.43613813617468805,2.8963797092437744,0.24430552068438144,100.0,1,"{'model__C': 100, 'model__gamma': 1}",0.14779075672930422,0.13151239251390998,0.1468354430379747,0.1402439024390244,0.13617886178861788,0.14051227130176622,0.00620978468186631,17,1.0,0.998730964467005,0.9987312864755138,1.0,0.9987324122195462,0.9992389326324129,0.0006214090894643877,0.10831535550330391,0.07575785470679228,0.09685901822686241,0.09657734922582922,0.09134045646846786,0.09377000682625114,0.010576678777708504,17,1.0,0.9986884542803226,0.998706194054176,1.0,0.998706194054176,0.9992201684777349,0.0006367627203459272,0.10832674605489942,0.07665108862088378,0.09788404645918154,0.09417781908960816,0.08986483224594141,0.09338090649410287,0.010358967550839223,17,1.0,0.9987305344884191,0.9987309789651525,1.0,0.9987321049820423,0.9992387236871227,0.0006215797174620517
